BIN,order,family,genus,species,Rep1,Rep2,Rep3,Rep5,Rep4,Rep7,Rep8,Rep6
BOLD:AAJ2868,Lepidoptera,Nymphalidae,Acraea,Acraea issoria,0,0,0,0,26,0,0,0
BOLD:AAJ1582,Lepidoptera,Nymphalidae,Argyreus,Argyreus hyperbius,360,443,306,162,725,343,675,0
BOLD:AAJ9557,Lepidoptera,Nymphalidae,Athyma,Athyma asura,392,429,641,114,511,283,681,0
BOLD:AAJ9556,Lepidoptera,Nymphalidae,Athyma,Athyma cama,31,55,30,19,70,57,83,0
BOLD:ADL1909,Lepidoptera,Nymphalidae,Athyma,Athyma orientalis,167,355,166,98,326,318,307,0
BOLD:ACA1475,Lepidoptera,Nymphalidae,Athyma,Athyma selenophora,0,0,0,0,10,0,0,0
BOLD:ADL2274,Lepidoptera,Papilionidae,Atrophaneura,Atrophaneura aidoneus,244,298,534,121,577,188,324,0
BOLD:ADL0800,Lepidoptera,Hesperiidae,Burara,Burara vasutana,0,0,25,0,0,0,0,0
BOLD:ADL2497,Lepidoptera,Papilionidae,Byasa,Byasa crassipes,144,29,187,0,108,158,144,0
BOLD:AAJ8738,Lepidoptera,Papilionidae,Byasa,Byasa polyeuctes,420,831,850,165,1147,468,1281,0
BOLD:ACH3444,Lepidoptera,Nymphalidae,Calinaga,Calinaga sudassana,832,1174,1010,299,1747,828,1431,0
BOLD:AAK1950,Lepidoptera,Nymphalidae,Callerebia,Callerebia polyphemus,0,52,80,0,0,53,85,0
BOLD:ACQ2590,Lepidoptera,Nymphalidae,Cethosia,Cethosia biblis,1340,2298,1638,630,2677,1992,3085,6
BOLD:ADL1630,Lepidoptera,Papilionidae,Papilio,Chilasa agestor,18,200,89,0,0,336,0,0
BOLD:AAK5305,Lepidoptera,Papilionidae,Chilasa,Chilasa epycides,19,0,32,0,20,13,14,0
BOLD:ADL2159,Lepidoptera,Papilionidae,Chilasa,Chilasa epycides,539,743,897,295,680,731,1000,0
BOLD:AAJ8310,Lepidoptera,Nymphalidae,Childrena,Childrena childreni,341,549,394,151,570,509,1097,0
BOLD:ADR6352,Lepidoptera,Nymphalidae,Childrena,Childrena childreni,15,16,13,0,16,17,29,0
BOLD:ACV7130,Lepidoptera,Hesperiidae,Choaspes,Choaspes benjaminii,0,0,0,0,27,0,0,0
BOLD:AAN1184,Lepidoptera,Hesperiidae,Choaspes,Choaspes xanthopogon,0,0,33,0,0,0,0,0
BOLD:AAI9669,Lepidoptera,Nymphalidae,Cyrestis,Cyrestis thyodamas,0,0,0,0,23,0,0,0
BOLD:AAI9595,Lepidoptera,Nymphalidae,Danaus,Danaus genutia,576,947,868,184,1047,803,852,0
BOLD:ADK2143,Lepidoptera,Nymphalidae,Danaus,Danaus genutia,18,55,47,20,21,47,41,0
BOLD:ACA1665,Lepidoptera,Pieridae,Delias,Delias pasithoe,251,174,254,109,364,147,582,0
BOLD:AAI9570,Lepidoptera,Pieridae,Delias,Delias sububila,23,39,41,14,44,62,62,0
BOLD:AAE7537,Lepidoptera,Nymphalidae,Dichorragia,Dichorragia nesimachus,0,64,0,0,0,0,0,0
BOLD:ADJ8787,Lepidoptera,Riodinidae,Dodona,Dodona adonira,0,16,0,0,0,0,0,0
BOLD:AAK9513,Lepidoptera,Nymphalidae,Elymnias,Elymnias malelas,0,0,0,0,28,0,0,0
BOLD:ADL1334,Lepidoptera,Nymphalidae,Enispe,Enispe cycnus,0,0,0,0,0,53,54,0
BOLD:ABZ0345,Lepidoptera,Nymphalidae,Euploea,Euploea eunice,0,0,0,0,33,0,0,0
BOLD:ACA4478,Lepidoptera,Nymphalidae,Euploea,Euploea eunice,0,0,0,0,0,0,104,0
BOLD:AAL5461,Lepidoptera,Nymphalidae,Euploea,Euploea mulciber,1027,1232,936,345,1581,1407,1459,0
BOLD:AAA6082,Lepidoptera,Pieridae,Eurema,Eurema hecabe,0,0,0,0,34,0,0,0
BOLD:ADL1155,Lepidoptera,Nymphalidae,Euthalia,Euthalia iva,0,0,32,0,0,0,0,0
BOLD:ADL2123,Lepidoptera,Nymphalidae,Euthalia,Euthalia lubentina,0,0,51,0,65,0,127,0
BOLD:ADL1054,Lepidoptera,Nymphalidae,Euthalia,Euthalia monastyrskiyi,0,13,0,0,0,0,0,0
BOLD:ADL1194,Lepidoptera,Nymphalidae,Euthalia,Euthalia narayana,0,24,0,0,0,0,0,0
BOLD:AAD7189,Lepidoptera,Papilionidae,Graphium,Graphium agamemnon,0,0,12,0,0,0,0,0
BOLD:ADL0978,Lepidoptera,Papilionidae,Graphium,Graphium agetes,14,23,0,11,151,13,11,0
BOLD:ACD8413,Lepidoptera,Papilionidae,Graphium,Graphium chironides,0,0,0,26,0,30,0,0
BOLD:AAW0492,Lepidoptera,Papilionidae,Graphium,Graphium cloanthus,46,32,48,0,44,56,168,0
BOLD:AAY2201,Lepidoptera,Papilionidae,Graphium,Graphium doson,0,0,26,0,0,0,0,0
BOLD:ADL0250,Lepidoptera,Papilionidae,Graphium,Graphium leechi,281,225,193,64,417,157,463,0
BOLD:AAE7250,Lepidoptera,Papilionidae,Graphium,Graphium sarpedon,307,291,436,110,459,229,573,0
BOLD:ADL1973,Lepidoptera,Papilionidae,Graphium,Graphium sarpedon,0,140,53,0,0,0,68,0
BOLD:AAE7041,Lepidoptera,Pieridae,Hebomoia,Hebomoia glaucippe,33,45,73,0,34,41,49,0
BOLD:ADL1899,Lepidoptera,Lycaenidae,Heliophorus,Heliophorus brahma,0,0,0,0,32,0,0,0
BOLD:AAI8379,Lepidoptera,Nymphalidae,Hestina,Hestina assimilis,1940,2337,3004,666,4656,2620,3725,0
BOLD:ACA3156,Lepidoptera,Nymphalidae,Hestina,Hestina nama,239,200,290,114,149,272,112,0
BOLD:AAB7950,Lepidoptera,Nymphalidae,Hypolimnas,Hypolimnas bolina,19,12,46,31,60,124,13,0
BOLD:AAE2153,Lepidoptera,Nymphalidae,Junonia,Junonia almana,0,0,0,0,23,23,0,0
BOLD:AAE2156,Lepidoptera,Nymphalidae,Junonia,Junonia atlites,0,114,50,0,71,71,0,0
BOLD:ABZ6191,Lepidoptera,Nymphalidae,Junonia,Junonia orithya,0,0,0,0,19,0,21,0
BOLD:AAD4857,Lepidoptera,Nymphalidae,Kaniska,Kaniska canace,21,25,0,0,0,0,0,0
BOLD:ACD6834,Lepidoptera,Papilionidae,Lamproptera,Lamproptera curius,0,41,0,0,0,34,0,0
BOLD:ADL0937,Lepidoptera,Nymphalidae,Lethe,Lethe bhairava,0,0,0,0,26,0,0,0
BOLD:AAK9221,Lepidoptera,Nymphalidae,Lethe,Lethe confusa,0,0,7,0,0,0,0,0
BOLD:AAN9736,Lepidoptera,Nymphalidae,Lethe,Lethe dura,0,0,0,0,21,0,0,0
BOLD:ADL1514,Lepidoptera,Nymphalidae,Lethe,Lethe sinorix,21,0,18,0,0,0,0,0
BOLD:AAN3545,Lepidoptera,Nymphalidae,Lethe,Lethe verma,24,101,62,55,35,219,162,0
BOLD:ABZ6145,Lepidoptera,Nymphalidae,Melanitis,Melanitis leda,27,44,40,26,24,55,68,0
BOLD:ADL1598,Lepidoptera,Nymphalidae,Mycalesis,Mycalesis francisca,0,0,0,0,0,16,0,0
BOLD:ADL1331,Lepidoptera,Nymphalidae,Neope,Neope armandii,0,0,0,0,0,6,0,0
BOLD:AAK7843,Lepidoptera,Nymphalidae,Neope,Neope pulaha,0,0,48,0,0,0,0,0
BOLD:ADF1053,Lepidoptera,Nymphalidae,Neope,Neope pulaha,0,69,0,0,81,0,0,0
BOLD:ADL0827,Lepidoptera,Nymphalidae,Neorina,Neorina patria,0,0,0,0,0,0,10,0
BOLD:AAH5021,Lepidoptera,Nymphalidae,Neptis,Neptis hylas,98,123,121,31,443,29,402,0
BOLD:AAY6965,Lepidoptera,Nymphalidae,Neptis,Neptis hylas,9,0,0,0,13,0,0,0
BOLD:ADK2061,Lepidoptera,Nymphalidae,Neptis,Neptis hylas,0,0,0,0,0,0,79,0
BOLD:AAJ9688,Lepidoptera,Papilionidae,Pachliopta,Pachliopta aristolochiae,4914,7759,5521,1632,8770,6858,8857,12
BOLD:AAX2577,Lepidoptera,Papilionidae,Papilio,Papilio arcturus,51,94,135,34,111,91,143,0
BOLD:AAC3024,Lepidoptera,Papilionidae,Papilio,Papilio bianor,1450,2017,1688,468,2368,2185,2345,0
BOLD:AAD6030,Lepidoptera,Papilionidae,Papilio,Papilio demoleus,0,42,0,0,0,0,0,0
BOLD:AAX2752,Lepidoptera,Papilionidae,Papilio,Papilio doddsi,380,603,541,165,833,595,1033,0
BOLD:AAI5276,Lepidoptera,Papilionidae,Papilio,Papilio helenus,456,449,454,175,699,278,731,0
BOLD:ACE8137,Lepidoptera,Papilionidae,Papilio,Papilio karna,97,110,104,36,145,201,229,0
BOLD:AAE6788,Lepidoptera,Papilionidae,Papilio,Papilio memnon,45,19,18,0,12,0,61,0
BOLD:AAI5283,Lepidoptera,Papilionidae,Papilio,Papilio nephelus,0,95,0,0,0,0,81,0
BOLD:AAF7788,Lepidoptera,Papilionidae,Papilio,Papilio paris,808,873,901,232,1262,1088,1506,0
BOLD:ACE8136,Lepidoptera,Papilionidae,Papilio,Papilio paris,0,0,7,0,0,12,9,0
BOLD:ACF5598,Lepidoptera,Papilionidae,Papilio,Papilio polyctor,65,163,143,32,129,56,160,0
BOLD:AAI6158,Lepidoptera,Papilionidae,Papilio,Papilio polytes,28,0,10,14,15,67,44,0
BOLD:AAI6157,Lepidoptera,Papilionidae,Papilio,Papilio protenor,1233,1897,1788,559,2981,1720,3084,0
BOLD:AAZ4523,Lepidoptera,Nymphalidae,Parantica,Parantica aglea,0,20,0,0,0,36,0,0
BOLD:AAX2471,Lepidoptera,Nymphalidae,Parantica,Parantica melaneus,0,0,0,0,74,0,0,0
BOLD:ADL0536,Lepidoptera,Nymphalidae,Parantica,Parantica sita,0,0,12,0,6,0,0,0
BOLD:AAX1260,Lepidoptera,Nymphalidae,Parasarpa,Parasarpa dudu,0,90,0,0,84,98,0,0
BOLD:ADR4931,Lepidoptera,Nymphalidae,Parasarpa,Parasarpa dudu,39,0,0,0,0,0,0,0
BOLD:ACX3791,Lepidoptera,Hesperiidae,Parnara,Parnara ganga,0,0,0,0,61,0,0,0
BOLD:AAL8427,Lepidoptera,Nymphalidae,Parthenos,Parthenos sylvia,42,42,71,0,38,42,0,0
BOLD:AAF7629,Lepidoptera,Pieridae,Pieris,Pieris canidia,0,0,9,0,0,0,0,0
BOLD:ACB5732,Lepidoptera,Pieridae,Pieris,Pieris canidia,0,124,166,0,107,118,240,0
BOLD:AAA2224,Lepidoptera,Pieridae,Pieris,Pieris rapae,33,0,0,0,0,0,0,0
BOLD:AAA2226,Lepidoptera,Pieridae,Pieris,Pieris rapae,72,65,64,66,0,0,0,0
BOLD:AAD9073,Lepidoptera,Nymphalidae,Polygonia,Polygonia c-aureum,0,0,0,0,53,0,0,0
BOLD:ACD7373,Lepidoptera,Nymphalidae,Polyura,Polyura dolon,0,0,24,20,39,47,45,0
BOLD:ACA1612,Lepidoptera,Pieridae,Prioneris,Prioneris thestylis,0,0,0,0,99,0,0,0
BOLD:ADL0772,Lepidoptera,Nymphalidae,Pseudergolis,Pseudergolis wedah,215,329,309,82,458,388,336,0
BOLD:ADL0521,Lepidoptera,Nymphalidae,Stibochiona,Stibochiona nicea,0,28,0,0,42,53,0,0
BOLD:ADC7557,Lepidoptera,Nymphalidae,Stichophthalma,Stichophthalma louisa,12,29,52,0,30,27,51,0
BOLD:ABX9996,Lepidoptera,Nymphalidae,Sumalia,Sumalia daraxa,56,17,34,15,36,27,57,0
BOLD:AAI0236,Lepidoptera,Nymphalidae,Symbrenthia,Symbrenthia lilaea,48,32,135,10,137,55,172,0
BOLD:AAK0507,Lepidoptera,Pieridae,Talbotia,Talbotia naganum,0,0,0,0,6,0,0,0
BOLD:AAC1308,Lepidoptera,Nymphalidae,Tirumala,Tirumala septentrionis,796,753,843,209,1385,417,1029,0
BOLD:ABY8818,Lepidoptera,Papilionidae,Troides,Troides aeacus,34,0,33,0,34,22,24,0
BOLD:AAA5337,Lepidoptera,Nymphalidae,Vanessa,Vanessa cardui,0,0,0,0,65,0,0,0
BOLD:AAF0350,Lepidoptera,Nymphalidae,Vanessa,Vanessa indica,40,51,36,0,49,15,58,0
BOLD:ACD4058,Lepidoptera,Nymphalidae,Vindula,Vindula erota,467,535,619,141,779,546,870,0
BOLD:ACS5043,Lepidoptera,Riodinidae,Zemeros,Zemeros flegyas,0,48,0,0,0,70,0,0